bank,context,salt,macro_class,macro_class_exact,capture,capture_exact,delta_vs_BBSE_pp,capture_delta_vs_BBSE,clean_delta_vs_zero,L1,JS,dominant_agreement,canonical_agreement,optimal_set_agreement,true_template_regret,DU,active_classes,objective
A,clean,T013-S0,39.115670128760435,4379124746870947087559/111953207818140489775,0.8123936380704208,417891674733031462617/514395553029684521137,0.6009036883602624,0.0980856489312439,4.976980208991895,0.7184083941651161,0.17357914767413135,0.7,0.65,0.65,0.01410265346913888,0.08390957723381892,4.17,0.0008701165561779586
A,clean,T013-S1,39.055656911893294,35404097771102715117/906503707029477650,0.7983792226356284,1100940455008560359093/1378969321588943132807,0.7543997301647263,0.12249361671333342,4.916966992124758,0.7184083941651161,0.17357914767413135,0.7,0.65,0.66,0.015283455208744315,0.08388933680204919,4.17,0.0008701165561779586
A,clean,T013-S2,39.06935355761002,4373939458155521497762/111953207818140489775,0.8004916748231686,3312021665571698162154/4137484210942399939171,0.6936649539037528,0.11261628484550917,4.9306636378414845,0.7184083941651161,0.17357914767413135,0.7,0.625,0.63,0.015446250276702178,0.08386567198874358,4.17,0.0008701165561779586
A,clean,T013-S3,38.97003400399879,26176921893178067633497/671719246908842938650,0.773342186234171,3245306809816636809079/4196469386494771626546,0.6209873119198612,0.09940001727289513,4.83134408423025,0.7184083941651161,0.17357914767413135,0.7,0.645,0.65,0.01525980667712776,0.08421907952299401,4.17,0.0008701165561779586
A,brightness_dark,T013-S0,33.65725645904361,22608226961686561507157/671719246908842938650,0.8984659835648294,901851940468439356311/1003768597771699181435,0.33363100390862993,0.018605414234951465,16.111230004832546,0.7684346693626029,0.19651327139857724,0.68,0.675,0.695,0.02273440083162813,0.12885933185524112,3.98,0.0007978106058583461
A,brightness_dark,T013-S1,33.69726020864514,870580701932401222082/25835355650340113025,0.9010580738007838,10849094574177142542707/12040394387027914519545,0.41421286134172836,0.02310844166202624,16.151233754434077,0.7684346693626029,0.19651327139857724,0.68,0.675,0.685,0.022412535948232306,0.12886248493832672,3.98,0.0007978106058583461
A,brightness_dark,T013-S2,33.53010866143379,22522819338829979773823/671719246908842938650,0.891381026641532,10736815662764690542398/12045147183823210116145,0.17955534064059622,0.010013225770752216,15.984082207222734,0.7684346693626029,0.19651327139857724,0.68,0.66,0.675,0.02323429595926888,0.12887191101206175,3.98,0.0007978106058583461
A,brightness_dark,T013-S3,33.75649545071011,22674887702432780383039/671719246908842938650,0.9036692950939224,10888884026367491151614/12049633738231375520845,0.42520699094130116,0.023703601780794774,16.210468996499053,0.7684346693626029,0.19651327139857724,0.68,0.675,0.695,0.021643825196068212,0.12889336008923963,3.98,0.0007978106058583461
A,contrast_low,T013-S0,31.249615062826653,3498494649365525705024/111953207818140489775,0.8339188640877399,3793316499250545012188/4548783655829897649377,1.5473323454259373,0.11424734571132039,11.294351075116134,0.9182003322799165,0.23881190748964248,0.59,0.645,0.655,0.025156459413006402,0.11878735037719773,3.87,0.0007674957067424587
A,contrast_low,T013-S1,31.23746173864131,6994268091474645951373/223906415636280979550,0.8342238605846344,7578469376731873648351/9084455306062318509936,1.4739742018343822,0.10898802486908973,11.282197750930793,0.9182003322799165,0.23881190748964248,0.59,0.635,0.645,0.02506281554541304,0.1188539234585841,3.87,0.0007674957067424587
A,contrast_low,T013-S2,31.178121717851884,2094294444034770897583/67171924690884293865,0.8248648495361796,3769304771327822385031/4569602854876526239254,1.4479117041871914,0.106419550058842,11.222857730141365,0.9182003322799165,0.23881190748964248,0.59,0.64,0.65,0.0259783509919807,0.11888880534196591,3.87,0.0007674957067424587
A,contrast_low,T013-S3,31.171350325912705,20938395966053799310301/671719246908842938650,0.8256860278040699,7534061068361735104533/9124607677325891101811,1.4350532723485463,0.10564321639508974,11.216086338202187,0.9182003322799165,0.23881190748964248,0.59,0.63,0.64,0.025299277978226165,0.11880575997324122,3.87,0.0007674957067424587
A,gaussian_noise,T013-S0,36.09418639538801,24245159703297434470489/671719246908842938650,0.7917721941291489,1819533798851885225128/2298052157354612021949,0.8306091031392284,0.12139326765293626,5.417542543927757,0.7416556901538719,0.1800160617584357,0.67,0.685,0.685,0.013178013494602934,0.09777299586882751,4.17,0.0008678663583510371
A,gaussian_noise,T013-S1,36.06206984800984,12111793200139631833513/335859623454421469325,0.7833401673790112,3617494294685599646793/4618037533795086817289,0.7782854913923899,0.1132059538997615,5.385425996549596,0.7416556901538719,0.1800160617584357,0.67,0.68,0.68,0.013077970197830791,0.0976835417173722,4.17,0.0008678663583510371
A,gaussian_noise,T013-S2,36.108610746908646,24254848817838029454901/671719246908842938650,0.7948121565116447,3648756712244365434668/4590715784039354734789,0.8781141411509611,0.12848675399262585,5.431966895448401,0.7416556901538719,0.1800160617584357,0.67,0.67,0.67,0.013230630373728881,0.09768230491202289,4.17,0.0008678663583510371
A,gaussian_noise,T013-S3,36.06918300080455,24228364441917673364351/671719246908842938650,0.7866043669063877,1811136168162004672059/2302474082727212323157,0.778978872928123,0.11362887986591316,5.392539149344305,0.7416556901538719,0.1800160617584357,0.67,0.69,0.69,0.012981213800667652,0.09771599458660322,4.17,0.0008678663583510371
A,gaussian_blur,T013-S0,37.83236862448681,4235455026869669990554/111953207818140489775,0.7575335137347834,2327772334352092330969/3072830828138196424458,0.89613932984312,0.09794779951038418,6.930789448312436,0.7693456503777586,0.19200063267432263,0.68,0.555,0.555,0.018999883230678905,0.09503800425867408,4.14,0.0008555690170909938
A,gaussian_blur,T013-S1,37.778627989190156,25376631542148144771833/671719246908842938650,0.7511022258547141,4619446049634309490447/6150222820039745243316,0.7894497321441666,0.08622266136771292,6.877048813015776,0.7693456503777586,0.19200063267432263,0.68,0.56,0.565,0.018358503483926286,0.09533423445182987,4.14,0.0008555690170909938
A,gaussian_blur,T013-S2,37.80677322362708,12697768618914096983654/335859623454421469325,0.7608498861862641,70278056747187252817/92367835000217686501,0.8250161559273509,0.09090453418477275,6.905194047452709,0.7693456503777586,0.19200063267432263,0.68,0.555,0.555,0.01861224510247813,0.0952793479540108,4.14,0.0008555690170909938
A,gaussian_blur,T013-S3,37.87194715764174,25439315823702604823267/671719246908842938650,0.7668993069473864,4682130331188769541881/6105273911155053629466,0.9700495098225572,0.10672754993215765,6.970367981467364,0.7693456503777586,0.19200063267432263,0.68,0.565,0.57,0.017871097174483982,0.09523127696250397,4.14,0.0008555690170909938
B,clean,T013-S0,39.01635236113596,13104017412576151444036/335859623454421469325,0.7907957626585994,1638209870895436031827/2071596672935993351968,0.7265258353548757,0.11778870698144668,4.877662441367421,0.7184083941651161,0.17357914767413135,0.7,0.63,0.63,0.013651751181850927,0.08887547750183261,4.17,0.0008701165561779586
B,clean,T013-S1,38.95546403976405,8722378322591606574049/223906415636280979550,0.7955225221581421,3235519884413388897729/4067163146601900121861,0.8191044335974338,0.13528058586375113,4.81677411999551,0.7184083941651161,0.17357914767413135,0.7,0.66,0.665,0.013657847972183008,0.08888612019475843,4.17,0.0008701165561779586
B,clean,T013-S2,39.002725016272706,13099440537661695713411/335859623454421469325,0.7970474382823207,816816497990490150601/1024802864620922387933,0.6259911287556641,0.10257833581849711,4.864035096504168,0.7184083941651161,0.17357914767413135,0.7,0.65,0.655,0.013775448578796529,0.08882485400785285,4.17,0.0008701165561779586
B,clean,T013-S3,38.9297283765989,26149847827494825916349/671719246908842938650,0.7733554267231476,3218232744133395091931/4161388971911210748786,0.5991763381545577,0.09671729351604702,4.791038456830361,0.7184083941651161,0.17357914767413135,0.7,0.62,0.63,0.014717120416458729,0.08906727685299883,4.17,0.0008701165561779586
